Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
220.197.30.76,218.106.117.236,6,443,52063,561,2448.892
61.228.20.151,115.156.142.11,6,22223,56406,9912,2448.904
36.110.140.4,183.95.73.30,6,443,39394,6245,2448.934
218.75.158.14,115.156.143.198,6,443,52517,4536,2448.947
202.89.233.101,115.156.143.250,6,443,51745,3028,2449.016
122.195.90.183,183.95.73.90,6,7824,43046,2334,2449.075
117.183.92.254,183.94.22.27,17,17946,9183,594,2449.168
115.156.143.116,103.28.54.100,6,59790,443,348,2449.44
116.162.201.77,218.106.117.229,6,443,42776,708,2449.626
115.156.143.54,210.42.68.13,6,58476,80,1900,2450.02
183.95.73.87,119.36.90.80,6,49767,443,18581,2450.081
202.114.0.250,117.152.147.85,6,443,1094,180,2450.257
117.152.147.85,115.156.141.13,6,443,55692,1505,2451.614
58.19.27.45,175.42.204.35,6,42650,1635,780,2450.309
125.109.63.126,115.156.143.236,17,15163,38938,1687,2450.433
119.36.224.12,183.94.22.35,6,443,7507,33070,2450.435
115.156.141.239,92.122.244.26,6,4511,443,324,2450.481
180.233.95.231,115.156.141.202,17,3189,5259,574,2450.725
43.142.215.95,183.95.73.96,6,443,45486,3350,2451.079
115.156.141.13,8.140.35.130,6,49316,443,360,2451.099
23.49.104.55,115.156.144.154,6,443,57200,264,2451.501
115.156.141.13,116.172.74.219,6,443,55692,1505,2451.614
220.181.33.216,115.156.141.25,6,443,55692,1505,2451.614
122.189.237.10,183.95.73.50,6,80,56144,40396,2451.62
58.19.27.98,116.172.74.219,6,48860,443,798,2451.646
116.172.74.219,182.61.200.83,6,443,55692,1505,2451.614
115.156.143.44,210.42.68.7,6,43322,80,3036,2451.652
112.20.38.44,115.156.144.70,6,9102,47658,270395,2452.118
124.70.116.11,115.156.142.205,6,443,43330,3747,2452.223
218.106.117.236,110.228.50.4,17,44299,12467,781,2452.246
120.53.80.119,183.95.73.15,6,80,40292,2546,2452.287
157.255.13.135,183.95.73.95,6,443,51660,477,2452.659
115.156.143.98,183.255.110.175,6,57914,19000,22232,2452.666
182.61.200.83,115.156.144.182,6,443,40582,265,2452.811
218.106.117.236,122.190.168.227,6,35612,443,33811,2452.871
43.142.215.98,115.156.142.219,6,443,49457,855,2453.197
115.156.144.225,59.78.211.251,6,6896,443,3100,2453.264
223.6.6.6,115.156.141.66,17,443,54886,5868,2453.539
115.156.143.229,43.141.59.35,6,53705,443,1395,2453.559
61.240.206.11,183.95.73.90,6,443,49398,3117,2453.58
58.19.27.65,125.72.60.134,6,6237,2180,7074,2453.776
115.156.142.30,223.5.5.5,17,18627,53,167,2454.15
183.94.22.63,119.249.103.180,6,35730,80,2064,2454.267
156.238.204.69,115.156.143.249,6,443,52601,42392,2454.347
123.125.103.221,183.95.73.99,6,80,41414,11318,2454.487
211.91.233.147,183.94.22.52,6,443,9503,6896,2454.647
183.95.73.49,157.148.54.16,6,53956,14000,1779,2454.821
115.156.143.171,171.15.136.150,6,48924,1500,1070,2454.915
115.156.143.1,103.28.54.100,6,59909,27025,173,2454.998
123.156.109.1,183.95.73.92,17,61996,20631,598,2455.066
2.23.227.219,115.156.144.189,6,443,61314,4601,2455.163
119.36.224.12,183.95.73.72,6,443,52974,24749,2455.196
58.19.27.61,123.125.103.221,6,44636,443,1426,2455.381
115.156.142.10,118.184.136.144,6,7410,44843,120,2455.697
183.95.73.42,110.242.69.174,6,49949,443,517,2455.857
115.156.142.107,47.92.136.182,6,52718,443,5429,2455.866
218.106.117.236,112.86.231.222,6,51717,65010,858,2455.904
125.34.46.236,183.95.73.18,17,16902,41231,20399,2455.943
119.249.103.180,183.94.22.63,6,80,35730,1876,2456.061
122.195.90.176,183.95.73.61,6,7824,42978,919,2456.087
1.194.253.228,115.156.144.201,6,443,59269,585,2456.183
119.45.249.52,183.95.73.11,17,443,42144,7664,2456.237
183.94.22.39,202.90.110.15,6,40932,443,5854,2456.499
183.94.29.69,183.95.73.50,17,20344,52330,4003,2456.692
115.156.143.150,121.194.11.73,6,48122,443,160,2456.754
116.153.64.186,183.94.22.27,6,443,43598,51298,2456.818
49.7.89.76,183.94.22.84,6,443,54636,460,2456.898
211.69.197.16,163.172.75.59,6,62650,23925,252,2456.988
39.171.187.154,218.106.117.229,17,30560,49989,201,2456.994
115.156.141.202,163.47.68.30,17,5259,50670,1545,2457.028
183.95.73.31,42.236.38.153,6,58887,80,140,2457.06
115.156.143.175,172.64.229.211,17,56402,443,13820,2457.086
115.156.143.237,59.56.23.6,6,2513,80,100310,2457.113
61.241.148.252,183.94.22.44,6,80,56204,95575,2457.263
223.86.122.184,115.156.143.155,6,443,51386,9242,2457.404
115.156.142.198,121.196.202.83,6,48170,1048,132,2457.676
115.156.141.169,120.220.145.116,6,7796,443,14814,2457.696
59.173.180.79,202.114.0.250,6,54519,443,360,2457.824
115.156.143.229,20.135.4.169,6,61630,443,599,2457.919
115.156.143.82,117.131.17.94,6,56883,7982,959,2457.988
153.3.46.25,218.106.117.236,6,14000,38492,3444,2458
106.11.43.194,111.175.187.168,6,443,58988,1836,2458.154
47.79.49.2,183.95.73.84,6,443,8421,10916,2458.414
101.30.116.128,183.95.73.82,17,26969,60961,463,2458.466
58.19.20.242,183.94.22.42,6,443,5606,2030,2458.959
36.156.112.254,183.95.73.61,6,26550,4841,369383,2459.013
119.97.181.245,115.156.141.239,6,80,4836,46182,2459.055
115.156.244.234,218.71.226.66,17,54052,26413,1316,2459.091
183.94.22.46,120.52.73.55,6,6698,443,3942,2459.324
115.156.143.143,45.116.152.108,17,46529,50262,1339,2459.377
218.106.117.236,122.191.18.54,6,55506,19999,15058,2459.656
119.36.124.189,183.94.22.22,6,80,49786,132,2460.076
118.212.136.244,218.106.117.232,6,22443,37850,11886,2460.196
183.94.22.31,116.153.4.223,6,6643,443,3746,2460.22
112.90.95.56,183.94.22.30,6,443,33582,1225,2460.271
115.156.144.239,109.244.240.72,6,6956,12003,2483,2460.561
115.156.141.218,122.14.236.182,17,8567,3478,300,2460.693
183.94.22.17,119.36.140.222,6,60293,443,8792,2460.723
162.247.243.29,211.67.20.72,6,443,54345,1105,2460.784
115.156.142.105,43.137.208.115,6,54920,443,3312,2460.788
115.156.142.124,114.93.253.110,17,50793,14331,199102,2460.823
115.156.141.195,81.69.116.87,17,55795,443,1362,2461.138
183.94.22.44,153.3.46.82,6,57797,8080,2817,2461.367
183.95.73.51,103.37.152.48,6,39372,443,126,2461.628
115.205.8.188,222.20.120.224,17,25522,57718,1270,2461.663
183.94.22.93,183.93.101.62,6,59471,443,5651,2462.112
115.156.142.135,43.137.154.198,6,49401,443,1245,2462.462
123.139.159.100,183.95.73.60,17,27272,56507,588,2462.546
211.97.119.226,183.95.73.26,17,3679,8134,21287,2462.567
115.231.145.40,115.156.143.60,6,55001,5071,79420,2462.667
115.156.144.59,120.239.137.109,17,41262,27845,2001,2462.859
115.156.143.107,52.104.26.55,6,60910,443,2948,2462.895
115.156.212.131,222.192.186.112,6,54779,443,10474,2463.076
