Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
116.162.203.111,183.94.22.40,6,443,56974,2238,69.727
157.255.219.32,183.95.73.56,17,443,57317,12248,326.717
112.132.153.39,183.95.73.38,17,42834,47035,4077,1.901
115.156.144.153,49.52.46.172,17,43604,21815,646258,2038.515
183.94.22.37,123.6.129.44,6,39256,443,2077,30.875
81.69.116.87,115.156.144.239,17,443,58968,2584,25.903
58.19.27.58,111.206.174.203,6,52888,443,4644,640.321
58.19.27.59,116.172.93.127,6,53543,8443,1410,76.258
116.132.219.180,183.95.73.89,6,443,53188,2463,177.767
183.95.73.65,112.46.192.251,6,59007,19001,3548,606.111
112.84.131.83,218.106.117.236,6,443,34574,7822,211.09
115.156.142.131,118.31.18.157,6,47194,1119,1656,3573.627
119.97.181.245,183.94.22.79,6,80,57518,7086,1919.937
106.41.197.162,183.95.73.14,6,18972,3233,161134,16.059
115.156.216.97,45.113.192.110,6,13449,443,1843,465.967
122.189.171.106,183.95.73.21,6,443,38294,4296,27.553
183.255.110.131,115.156.143.98,6,19000,59361,479724,10317.147
115.156.143.82,183.240.197.179,6,56566,443,1601,2118.578
43.141.43.127,115.156.142.86,6,443,61941,3282,148.761
218.106.117.230,112.132.119.67,6,57330,443,1416,368.459
1.204.212.244,211.67.20.124,17,6070,52914,4416,4848.566
47.93.253.52,183.95.73.90,6,443,51491,2337,131.274
183.95.252.228,183.95.73.93,6,443,60244,654337,292.424
221.15.71.78,183.94.22.97,6,443,49198,2254,96.728
119.97.181.245,183.94.22.29,6,80,51831,6002,1024.015
101.133.104.19,218.106.117.236,6,443,46100,1974,56.414
119.36.175.60,218.106.117.231,6,443,58620,3319,251.66
118.184.136.138,115.156.142.81,6,29046,4468,122128,1565.666
123.125.103.221,183.94.22.46,6,443,37078,1750,86.063
112.24.96.180,218.197.237.1,6,29977,44396,13066,49.56
115.156.142.136,104.17.67.165,6,40044,80,1165,77.831
